"Trait","Gene","Chromosome","p.sig","Context"
"Cholesterol, HDL","RPL7AP18",1,4.15564710368911,"intergenic"
"Cholesterol, HDL","KAZN",1,8.12918877970659,"intron"
"Cholesterol, HDL","PTPRU",1,8.52287874528034,"intergenic"
"Cholesterol, HDL","PTPRU",1,5.41641135907831,"intergenic"
"Cholesterol, HDL","PTPRU",1,5.94355740842159,"intergenic"
"Cholesterol, HDL","PDE4B",1,9.54455373818979,"intron"
"Cholesterol, HDL","PDE4B",1,11.8275378150048,"intron"
"Cholesterol, HDL","TXNP2",1,4.38541913300251,"intergenic"
"Cholesterol, HDL","TXNP2",1,4.25963731050576,"intergenic"
"Cholesterol, HDL","LRRC7",1,5.8424737439668,"intron"
"Cholesterol, HDL","NEGR1",1,4.71692502526453,"intron"
"Cholesterol, HDL","NEGR1",1,4.1996954224438,"intron"
"Cholesterol, HDL","NEGR1",1,4.07422394616325,"intron"
"Cholesterol, HDL","NEGR1",1,4.03053749202536,"intron"
"Cholesterol, HDL","PSAT1P3",1,4.28686958795307,"intergenic"
"Cholesterol, HDL","PSAT1P3",1,8.04143707125243,"intergenic"
"Cholesterol, HDL","ADH5P2",1,5.76545446421397,"intergenic"
"Cholesterol, HDL","ADH5P2",1,8.65069436426799,"intergenic"
"Cholesterol, HDL","ADH5P2",1,5.57114235195581,"intergenic"
"Cholesterol, HDL","ZNF326",1,5.74376346679408,"intergenic"
"Cholesterol, HDL","ZNF326",1,5.91901295308911,"intergenic"
"Cholesterol, HDL","CDK4PS",1,4.6797518739419,"intergenic"
"Cholesterol, HDL","CELSR2",1,8.69897000433602,"intron"
"Cholesterol, HDL","CELSR2",1,49,"UTR-3"
"Cholesterol, HDL","CELSR2",1,50.698970004336,"UTR-3"
"Cholesterol, HDL","CELSR2",1,8.52287874528034,"nearGene-3"
"Cholesterol, HDL","CHI3L2",1,4.51055553200342,"intron"
"Cholesterol, HDL","CHI3L2",1,4.08713027932597,"intron"
"Cholesterol, HDL","C1orf110",1,4.36001575195841,"intron"
"Cholesterol, HDL","SLC4A1APP2",1,4.52042725100763,"intergenic"
"Cholesterol, HDL","RPS3AP9",1,8.04390304830267,"intergenic"
